ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
438,禁,禁,U+7981,,
439,緊,緊,U+7DCA,,
440,錦,錦,U+9326,,
441,謹,謹,U+FA63,,
442,襟,襟,U+895F,,
443,吟,吟,U+541F,,
444,銀,銀,U+9280,,
445,区,區,U+5340,U+5340 U+E0101,CID+13524
446,句,句,U+53E5,,
447,苦,苦,U+82E6,,
448,駆,驅,U+9A45,U+9A45 U+E0101,CID+13628
449,具,具,U+5177,U+5177 U+E0101,CID+13733
450,惧,惧,U+60E7,,
451,愚,愚,U+611A,,
452,空,空,U+7A7A,,
453,偶,偶,U+5076,,
454,遇,遇,U+9047,U+9047 U+E0101,CID+13736
455,隅,隅,U+9685,,
456,串,串,U+4E32,,
457,屈,屈,U+5C48,,
458,掘,掘,U+6398,,
459,窟,窟,U+7A9F,,
460,熊,熊,U+718A,,
461,繰,繰,U+7E70,,
462,君,君,U+541B,,
463,訓,訓,U+8A13,,
464,勲,勳,U+52F3,,
465,薫,薰,U+85B0,,
466,軍,軍,U+8ECD,,
467,郡,郡,U+90E1,,
468,群,群,U+7FA4,,
469,兄,兄,U+5144,,
470,刑,刑,U+5211,,
471,形,形,U+5F62,,
472,系,系,U+7CFB,,
473,径,徑,U+5F91,,
474,茎,莖,U+8396,,
475,係,係,U+4FC2,,
476,型,型,U+578B,,
477,契,契,U+5951,U+5951 U+E0101,CID+13739
478,計,計,U+8A08,,
479,恵,惠,U+60E0,,
480,啓,啓,U+5553,U+5553 U+E0101,CID+13738
481,掲,揭,U+63ED,,
482,渓,溪,U+6EAA,,
483,経,經,U+7D93,,
484,蛍,螢,U+87A2,,
485,敬,敬,U+656C,,
486,景,景,U+666F,,
487,軽,輕,U+8F15,,
488,傾,傾,U+50BE,,
489,携,携,U+643A,,
490,継,繼,U+7E7C,,
491,詣,詣,U+8A63,,
492,慶,慶,U+6176,,
493,憬,憬,U+61AC,,
494,稽,稽,U+7A3D,,
495,憩,憩,U+61A9,,
496,警,警,U+8B66,,
497,鶏,鷄,U+9DC4,,
498,芸,藝,U+85DD,,
499,迎,迎,U+8FCE,U+8FCE U+E0101,CID+13742
500,鯨,鯨,U+9BE8,,
501,隙,隙,U+9699,,
502,劇,劇,U+5287,,
503,撃,擊,U+64CA,,
504,激,激,U+6FC0,,
505,桁,桁,U+6841,,
506,欠,缺,U+7F3A,,
507,穴,穴,U+7A74,U+7A74 U+E0101,CID+13434
508,血,血,U+8840,,
509,決,決,U+6C7A,,
510,結,結,U+7D50,,
511,傑,傑,U+5091,U+5091 U+E0102,CID+13743
512,潔,潔,U+6F54,U+6F54 U+E0101,CID+13744
513,月,月,U+6708,,
514,犬,犬,U+72AC,,
515,件,件,U+4EF6,,
516,見,見,U+898B,,
517,券,券,U+5238,U+5238 U+E0101,CID+13749
518,肩,肩,U+80A9,U+80A9 U+E0101,CID+13752
519,建,建,U+5EFA,U+5EFA U+E0101,CID+13436
520,研,硏,U+784F,,
521,県,縣,U+7E23,,
522,倹,儉,U+5109,,
523,兼,兼,U+517C,U+517C U+E0101,CID+13748
524,剣,劍,U+528D,,
525,拳,拳,U+62F3,U+62F3 U+E0101,CID+7969
526,軒,軒,U+8ED2,,
527,健,健,U+5065,U+5065 U+E0101,CID+13435
528,険,險,U+96AA,,
529,圏,圈,U+5708,,
530,堅,堅,U+5805,,
531,検,檢,U+6AA2,,
532,嫌,嫌,U+5ACC,U+5ACC U+E0101,CID+7675
533,献,獻,U+737B,,
534,絹,絹,U+7D79,,
535,遣,遣,U+9063,U+9063 U+E0101,CID+13754
536,権,權,U+6B0A,,
537,憲,憲,U+61B2,U+61B2 U+E0101,CID+13750
538,賢,賢,U+8CE2,,
539,謙,謙,U+8B19,U+8B19 U+E0101,CID+13753
540,鍵,鍵,U+9375,U+9375 U+E0100,CID+1892
541,繭,繭,U+7E6D,U+7E6D U+E0101,CID+14049
542,顕,顯,U+986F,,
543,験,驗,U+9A57,,
544,懸,懸,U+61F8,,
545,元,元,U+5143,,
546,幻,幻,U+5E7B,,
547,玄,玄,U+7384,,
548,言,言,U+8A00,,
549,弦,弦,U+5F26,,
550,限,限,U+9650,,
551,原,原,U+539F,,
552,現,現,U+73FE,,
553,舷,舷,U+8237,,
554,減,減,U+6E1B,,
555,源,源,U+6E90,,
556,厳,嚴,U+56B4,,
557,己,己,U+5DF1,,
558,戸,戶,U+6236,,
559,古,古,U+53E4,,
560,呼,呼,U+547C,,
561,固,固,U+56FA,,
562,股,股,U+80A1,,
563,虎,虎,U+864E,,
564,孤,孤,U+5B64,,
565,弧,弧,U+5F27,,
566,故,故,U+6545,,
567,枯,枯,U+67AF,,
568,個,個,U+500B,,
569,庫,庫,U+5EAB,,
570,湖,湖,U+6E56,,
